id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/datalab/priedangu_kas_poreikis,,,,,,,,,,,,Priedangų KAS poreikis,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,PriedanguKasPoreikis,,,obj_id,,,4,,,Priedangų KAS poreikis,
,,,,,administracine_teritorija_id,string,,,,4,open,Administracinės teritorijos unikalus identifikatorius,
,,,,,administracine_teritorija,string,,,,4,open,Administracinės teritorijos pavadinimas,
,,,,,kaimas_population,integer,,,,4,open,Gyventojų skaičius kaimo vietovėse,
,,,,,miestas_population,integer,,,,4,open,Gyventojų skaičius miesto vietovėse,
,,,,,miestas_proporcija,number,,,,4,open,Miesto gyventojų dalis nuo bendro gyventojų skaičiaus,
,,,,,miestas_ir_kaimas_population,integer,,,,4,open,Bendras miesto ir kaimo gyventojų skaičius,
,,,,,laikotarpis,string,,,,4,open,Duomenų laikotarpis,
,,,,,koeficientas,number,,,,4,open,Skaičiavimuose naudojamas koeficientas,
,,,,,priedangos_atitinka_reikalavimus,boolean,,,,4,open,Ar atitinka reikalavimus,
,,,,,priedangos_reikalingas_plotas,number,,,,4,open,Reikalingas priedangos plotas gyventojams (kv. m),
,,,,,priedangos_poreikis,number,,,,4,open,Priedangos poreikis,
,,,,,priedangos_plotas,number,,,,4,open,Priedangos plotas,
,,,,,priedangos_poreikio_patenkinimas,number,,,,4,open,Priedangos poreikio patenkinimas,
,,,,,kas_g_b,integer,,,,4,open,"Bendras gyventojų skaičius, kuriems reikalingos KAS (kolektyvinės apsaugos statiniai)",
,,,,,kas_g_b_25,integer,,,,4,open,"25% prioritetinių gyventojų dalis, kuriems būtini KAS",
,,,,,kas_g,integer,,,,4,open,"Gyventojų skaičius, kuriems realiai skirta KAS",
,,,,,kas_plotas,number,,,,4,open,Bendras esamas plotas (kv. m),
,,,,,kas_poreikis_kv_m,number,,,,4,open,Reikalingas plotas (kv. m),
,,,,,kas_atitinka_reikalavimus,boolean,,,,4,open,Ar esamas plotas atitinka reikalavimus,
,,,,,kas_skirtumas,number,,,,4,open,Skirtumas tarp esamo ir reikalingo KAS ploto (kv. m),
,,,,,kas_poreikio_patenkinimas,number,,,,4,open,KAS poreikio patenkinimo lygi,
,,,,,kas_g_n,integer,,,,4,open,"Gyventojų skaičius, kuriems KAS neprieinami",
,,,,,kas_g_v,integer,,,,4,open,"Gyventojų skaičius, turinčių prieigą prie visaverčių KAS",
,,,,,kas_g_s,integer,,,,4,open,"Gyventojų skaičius, turinčių prieigą prie sąlyginai tinkamų KAS",
,,,,,priedangos_kas_atitinka_reikalavimus,boolean,,,,4,open,Ar atitinka reikalavimus,
