,,csv,,,,csv,,https://data.gov.lt/dataset/1953/download/10663/Pagrindin%C4%97s-veiklos-kitos-pajamos.csv,,,,,,
,,,,VeiklosPajamos,,,eil_nr,,,4,,,,
,,,,,eil_nr,integer,,Eil. Nr.,,4,open,,Eilės numeris,
,,,,,straipsniai,string  ,,Straipsniai,,3,open,,Straipsniai,
,,,,,ataskaitinis_l,number,,Ataskaitinis laikotarpis,,3,open,,Ataskaitinis laikotarpis,
,,,,,proc,number,,Procentai,,3,open,,Procentai,
,,,,,praejes_atask_l,number,,Praėjęs ataskaitinis laikotarpis,,3,open,,Praėjęs ataskaitinis laikotarpis,
,,,,,proc,number,,Procentai,,3,open,,Procentai,
,,,,,pokytis,number,,Pokytis,,3,open,,Pokytis (3-4),
