id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description,
,datasets/gov/rc/ppnsis/politines_organizacijos,,,,,,,,,,,,Lietuvos Respublikos politinių organizacijų duomenys,,
,,,,PolitineOrganizacija,,,par_ja_kodas,,,4,,,PPNSIS duomenys apie Lietuvos Respublikoje veikiančias politines organizacijas ,Politinių partijų narių sąrašų informacinės sistemos duomenys apie Lietuvos Respublikoje veikiančias politines organizacijas,
,,,,,par_ja_kodas,ref,/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo,,,4,open,,"Politinės organizacijos, kaip juridinio asmens, kodas iš Juridinių asmenų registro",, 
,,,,,par_pavadinimas,ref,/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo,,,4,open,,"Politinės organizacijos, kaip juridinio asmens, organizacijos pavadinimas iš Juridinių asmenų registro",,
,,,,,reg_data,date,D,,,4,open,,Įregistravimo data iš Juridinių asmenų registro,,
,,,,,stat_statusas,ref,/datasets/gov/rc/jar/formos_statusai/Statusas,,,4,open,,Teisinio statuso kodas iš Juridinių asmenų registro,,
,,,,,stat_pav,ref,/datasets/gov/rc/jar/formos_statusai/Statusas,,,4,open,,Teisinio statuso pavadinimas iš Juridinių asmenų registro,,
,,,,,stat_data_nuo,date,D,,,4,open,,Teisinio statuso data iš Juridinių asmenų registro,,
,,,,,par_busena,string,,,,4,open,,Būsena (veikianti / neveikianti) iš Politinių partijų narių sąrašų informacinės sistemos,,
,,,,,,enum,,,"""VEI""",,,,Veikianti,,
,,,,,,,,,"""NEV""",,,,Neveikianti,,
