,datasets/gov/lsd/sektoriai,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Sektorius,,,,,,,,,Sektorių ir subsektorius,
,,,,,kodas,string,,,,3,open,,Kodas,
,,,,,pavadinimas,string,,,,3,open,,Pavadinimas,
