,,,,,,enum,bool,,1,,,,Taip,
,,,,,,,,,2,,,,Ne,
,,,,,,,sex,,1,,,,Vyras,
,,,,,,,,,2,,,,Moteris,
,,,,Bustas2016,,,,,,,,,"Būstas ir patogumai","Būsto tipas, namų ūkio užimamų kambarių skaičius, būsto plotas, patogumai."
,,,,,hh_ident,integer,,,,,open,,"Namų ūkio identifikatorius",
,,,,,dwltype,integer,,,,,open,,"Būsto tipas",
,,,,,,enum,,,1,,,,"Vieno buto namas",
,,,,,,,,,2,,,,"Butas dviejų butų ar sublokuotame name",
,,,,,,,,,3,,,,"Butas daugiabučiame name",
,,,,,,,,,4,,,,"Kita gyvenamoji patalpa",
,,,,,nrooms,integer,,,,,open,,"Bendras  namų ūkio užimamų kambarių skaičius neįskaitant virtuvės vonios kambario tualeto",
,,,,,totarea,integer,,,,,open,,"Namų ūkio užimamas naudingasis plotas",
,,,,,elect,integer,bool,,,,open,,"Ar būste yra: elektra",
,,,,,bath,integer,bool,,,,open,,"Vonia dušas",
,,,,,toilet,integer,bool,,,,open,,"Tualetas su nuleidžiamuoju vandeniu",
,,,,,kitchen,integer,bool,,,,open,,"Atskira virtuvė",
,,,,,water,integer,,,,,open,,"koks vandens tiekimas būste:",
,,,,,,enum,,,1,,,,"Centralizuotas ",
,,,,,,,,,2,,,,Vietinis,
,,,,,,,,,3,,,,"Nėra karšto vandens",
,,,,,h_water,integer,,,,,open,,"Koks karšto vandens tiekimas būste:",
,,,,,,enum,,,1,,,,"Centralizuotas ",
,,,,,,,,,2,,,,Vietinis,
,,,,,,,,,3,,,,"Nėra kanalizacijos",
,,,,,sewerage,integer,,,,,open,,"Koks nuotekų tvarkymas (kanalizacija) būste:",
,,,,,heating,integer,,,,,open,,"Pagrindinis būsto šildymo būdas:",
,,,,,,enum,,,1,,,,"Centrinis šildymas iš šilumos tinklų ",
,,,,,,,,,2,,,,"Centrinis šildymas iš vietinio šilumos šaltinio",
,,,,,,,,,3,,,,"Krosnis, židinys",
,,,,,,,,,4,,,,Nėra,
,,,,,,,,,,,,,,
,,,,Individ2012,,,,,,,,,"Asmens duomenys","Amžius, lytis, giminystės ryšiai, išsilavinimas, ekonominio aktyvumo statusas ir kt."
,,,,,hh_ident,integer,,,,,open,,"Namų ūkio identifikatorius",
,,,,,line,integer,,,,,open,,"Namų ūkio nario eilės Nr.",
,,,,,age,integer,,,,,open,,"Sukakusių metų skaičius",
,,,,,sex,integer,sex,,,,open,,Lytis,
,,,,,relation,integer,,,,,open,,"Ryšys su namų ūkio galva",
,,,,,,enum,,,1,,,,"Namų ūkio galva",
,,,,,,,,,2,,,,"Sutuoktinis (-ė)",
,,,,,,,,,3,,,,"Sugyventinis (-ė)",
,,,,,,,,,4,,,,"Sūnus, duktė, įsūnis, įdukra, posūnis, podukra, globotinis (-ė)",
,,,,,,,,,5,,,,"Tėvas, motina, įtėvis, įmotė, patėvis, pamotė, globėjas (-a)",
,,,,,,,,,6,,,,"Sutuoktinio (-ės), sugyventinio (-ės) tėvas, motina",
,,,,,,,,,7,,,,"Brolis , sesuo",
,,,,,,,,,8,,,,"Žentas , marti",
,,,,,,,,,9,,,,"Senelis, senelė",
,,,,,,,,,10,,,,"Vaikaitis (-ė)",
,,,,,,,,,11,,,,"Kitas (-a) giminaitis (-ė)",
