,dataset,object,owner,project,property,stars,users
18,gov/ivpk/opendata.gov.lt,duomenys/laikotarpis,gov/ivpk,projects/atviriduomenys.lt,id,0.0,
19,gov/ivpk/opendata.gov.lt,duomenys/laikotarpis,gov/ivpk,projects/atviriduomenys.lt,pavadinimas,0.0,
20,gov/ivpk/opendata.gov.lt,duomenys/laikotarpis,gov/ivpk,projects/atviriduomenys.lt,nuo,1.0,
21,gov/ivpk/opendata.gov.lt,duomenys/laikotarpis,gov/ivpk,projects/atviriduomenys.lt,iki,1.0,
22,gov/ivpk/opendata.gov.lt,duomenys/vietovė,gov/ivpk,projects/atviriduomenys.lt,id,0.0,
23,gov/ivpk/opendata.gov.lt,duomenys/vietovė,gov/ivpk,projects/atviriduomenys.lt,pavadinimas,0.0,
24,gov/ivpk/opendata.gov.lt,duomenys/vietovė,gov/ivpk,projects/atviriduomenys.lt,koordinatės,0.0,
25,gov/ivpk/opendata.gov.lt,duomenys/dažnumas,gov/ivpk,projects/atviriduomenys.lt,id,0.0,
26,gov/ivpk/opendata.gov.lt,duomenys/dažnumas,gov/ivpk,projects/atviriduomenys.lt,pavadinimas,1.0,
27,gov/ivpk/opendata.gov.lt,duomenys/tiekėjas,gov/ivpk,projects/atviriduomenys.lt,id,0.0,
28,gov/ivpk/opendata.gov.lt,duomenys/tiekėjas,gov/ivpk,projects/atviriduomenys.lt,pavadinimas,1.0,
29,gov/lrs/ad,politika/seimas/kadencija,gov/lrs,projects/manopozicija.lt,pavadinimas,2.0,8.0
30,gov/lrs/ad,politika/seimas/kadencija,gov/lrs,projects/manopozicija.lt,nuo,2.0,8.0
31,gov/lrs/ad,politika/seimas/kadencija,gov/lrs,projects/manopozicija.lt,iki,2.0,8.0
32,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manopozicija.lt,vardas,2.0,8.0
33,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manopozicija.lt,pavardė,2.0,8.0
34,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manopozicija.lt,gimimo_data,1.0,8.0
