;;investiciniu fondu balanso statistika;;;;csv;;https://www.lb.lt/lt/m_statistika/t-investiciniu-fondu-balanso-statistika/?export=csv;;;;;;
;;;;;code;string;;https://www.lb.lt/lt/m_statistika/getschema/?ref=IFS;;;open;;kodas;
;;;;;en_long_title;text;;;;;open;;angliškas ilgas pavadinimas;
;;;;;lt_long_title;text;;;;;open;;lietuviškas ilgas pavadinimas;
;;;;;date;date;;;;;open;;data;
;;;;;value;integer;;;;;open;;reikšmė;
;;;;;power;integer;;;;;open;;"Matavimo vienetų daugiklis
";
